DATE,AWND,PRCP,TAVG,WDF2
1/1/2013,6.71,0.07,45,340
1/2/2013,5.59,0,38.5,320
1/3/2013,3.58,0,40,330
1/4/2013,0.45,0.03,44.5,20
1/5/2013,3.13,0.04,39.5,130
1/6/2013,1.57,0,42.5,330
1/7/2013,2.24,0,40.5,130
1/8/2013,4.03,0.45,49,90
1/9/2013,5.59,1.33,57,70
1/10/2013,8.05,0,59.5,180
1/11/2013,8.05,0,56,170
1/12/2013,11.41,0.91,62,170
1/13/2013,8.5,0.98,43.5,270
1/14/2013,9.4,0,34.5,10
1/15/2013,7.61,0.07,31.5,360
1/16/2013,4.03,0,40,310
1/17/2013,2.68,0,43,340
1/18/2013,3.58,0,42.5,150
1/19/2013,2.91,0,45,180
1/20/2013,1.34,0,48.5,90
1/21/2013,3.8,0,46,40
1/22/2013,3.8,0,45.5,140
1/23/2013,6.04,0,54.5,210
1/24/2013,5.59,0,58.5,210
1/25/2013,9.17,0,57.5,350
1/26/2013,5.59,0,48.5,100
1/27/2013,8.72,0,61,160
1/28/2013,12.75,0,70,160
1/29/2013,14.99,0.28,64,300
1/30/2013,10.29,0.01,45.5,290
1/31/2013,7.61,0,47.5,230
2/1/2013,6.26,0,47.5,120
2/2/2013,6.71,0,54,280
2/3/2013,2.01,0,52,360
2/4/2013,4.92,0,50.5,170
2/5/2013,1.34,0,54.5,150
2/6/2013,4.47,0.03,52,100
2/7/2013,4.25,0,57.5,150
2/8/2013,6.93,0.01,54.5,330
2/9/2013,6.26,0,47,110
2/10/2013,7.83,1.83,61.5,160
2/11/2013,5.37,0.15,53.5,80
2/12/2013,5.59,0.2,47.5,280
2/13/2013,6.71,0,43,300
2/14/2013,2.46,0,47,210
2/15/2013,5.59,0.02,46.5,360
2/16/2013,6.04,0,42,310
2/17/2013,10.96,0,51,180
2/18/2013,14.54,0.06,60,180
2/19/2013,4.47,0,50.5,50
2/20/2013,8.28,0.01,47,90
2/21/2013,8.5,0.1,53,290
2/22/2013,4.7,0,45.5,350
2/23/2013,3.8,0,46.5,10
2/24/2013,5.59,0,50,100
2/25/2013,9.84,0.15,57,250
2/26/2013,12.3,0,48,290
2/27/2013,6.71,0,46,290
2/28/2013,7.16,0,46,290
3/1/2013,5.82,0,43,340
3/2/2013,6.93,0,41,300
3/3/2013,7.38,0,44,160
3/4/2013,14.99,0,61.5,190
3/5/2013,11.63,0,54,310
3/6/2013,4.25,0,48.5,350
3/7/2013,5.59,0,49.5,130
3/8/2013,5.82,0,54.5,110
3/9/2013,11.41,0,61.5,170
3/10/2013,10.29,0.82,53.5,320
3/11/2013,7.38,0,45.5,320
3/12/2013,1.57,0,48.5,320
3/13/2013,2.91,0,51,310
3/14/2013,6.93,0,55.5,190
3/15/2013,11.63,0,64.5,210
3/16/2013,13.65,0,67.5,180
3/17/2013,11.18,0,68.5,200
3/18/2013,9.84,0,65,210
3/19/2013,6.71,0,58,100
3/20/2013,5.37,0,55.5,360
3/21/2013,7.83,0.01,50,110
3/22/2013,7.61,0.02,56,30
3/23/2013,5.37,0.36,53.5,300
3/24/2013,13.2,0,44,290
3/25/2013,9.84,0,42,340
3/26/2013,3.58,0,42,340
3/27/2013,5.59,0,48,150
3/28/2013,6.71,0,59.5,180
3/29/2013,7.61,0,68,190
3/30/2013,6.71,0.5,65,240
3/31/2013,5.59,0.66,61.5,350
4/1/2013,2.46,0,63,170
4/2/2013,6.93,0.14,60.5,30
4/3/2013,8.5,0.18,45,40
4/4/2013,6.26,0,44,310
4/5/2013,1.12,0,53,40
4/6/2013,10.74,0,62.5,170
4/7/2013,11.41,0,66.5,170
4/8/2013,12.3,0,72.5,150
4/9/2013,14.32,0,74.5,160
4/10/2013,9.62,2.27,59.5,260
4/11/2013,7.38,0.25,52,330
4/12/2013,2.01,0,58,290
4/13/2013,3.58,0,61,150
4/14/2013,6.71,0,63.5,170
4/15/2013,10.07,0,73.5,190
4/16/2013,10.51,0,78.5,150
4/17/2013,14.54,0,79.5,170
4/18/2013,12.75,0.84,61,170
4/19/2013,8.28,0,48.5,320
4/20/2013,4.92,0,53,160
4/21/2013,4.03,0,57,70
4/22/2013,5.14,0,60.5,150
4/23/2013,8.5,0,66,210
4/24/2013,7.83,0,52.5,300
4/25/2013,5.37,0,60,120
4/26/2013,7.61,0,64,140
4/27/2013,8.95,0,72.5,190
4/28/2013,2.46,0,68.5,270
4/29/2013,4.92,0,70.5,150
4/30/2013,5.37,0.11,69,120
5/1/2013,5.37,0.13,69.5,50
5/2/2013,8.5,0.07,59,300
5/3/2013,10.51,0.04,51,320
5/4/2013,8.5,0,56.5,250
5/5/2013,6.93,0,53,320
5/6/2013,4.92,0,61.5,280
5/7/2013,1.12,0,66,10
5/8/2013,6.71,0,70,170
5/9/2013,7.61,0.15,69,140
5/10/2013,3.8,0.06,73,220
5/11/2013,3.8,0,69,350
5/12/2013,4.03,0,64.5,60
5/13/2013,6.71,0,65.5,180
5/14/2013,10.96,0,74,190
5/15/2013,9.84,0.21,72,210
5/16/2013,8.28,0.25,73.5,110
5/17/2013,8.5,0,78,180
5/18/2013,10.51,0,81,170
5/19/2013,11.63,0,79.5,150
5/20/2013,13.87,0,82,160
5/21/2013,13.65,0.58,76,140
5/22/2013,2.46,0,73.5,140
5/23/2013,2.24,0,75.5,180
5/24/2013,5.82,0,77.5,100
5/25/2013,5.37,0.07,77.5,200
5/26/2013,6.49,0,77,210
5/27/2013,10.51,0,78.5,170
5/28/2013,11.41,0,79,180
5/29/2013,12.75,0,79,170
5/30/2013,13.42,0.01,80.5,190
5/31/2013,12.97,0,84,170
6/1/2013,10.96,0.95,82,200
6/2/2013,2.91,0.12,74,310
6/3/2013,3.13,0,75.5,100
6/4/2013,3.8,0,76,170
6/5/2013,2.01,0,80,310
6/6/2013,5.37,1.8,73,260
6/7/2013,4.25,0,73.5,340
6/8/2013,3.8,0,73.5,100
6/9/2013,5.14,0.36,77,320
6/10/2013,5.59,0,80.5,180
6/11/2013,6.71,0,84,230
6/12/2013,8.5,0,84.5,230
6/13/2013,5.59,0,86,240
6/14/2013,3.36,0,85.5,100
6/15/2013,4.03,0,80,110
6/16/2013,5.82,0.16,83.5,40
6/17/2013,6.26,0,81.5,300
6/18/2013,4.7,2.84,75.5,250
6/19/2013,2.68,0,77.5,140
6/20/2013,4.92,0,81.5,250
6/21/2013,4.7,0,83.5,140
6/22/2013,5.37,0,82,160
6/23/2013,7.16,0,83.5,160
6/24/2013,8.05,0,83,140
6/25/2013,10.29,0,84,220
6/26/2013,9.62,0,85,220
6/27/2013,5.82,0,86,240
6/28/2013,6.71,0,88.5,270
6/29/2013,5.37,0,83.5,320
6/30/2013,5.82,0,79.5,350
7/1/2013,3.8,0,77,300
7/2/2013,1.79,0,76,10
7/3/2013,4.03,0,75.5,130
7/4/2013,1.79,0,77,90
7/5/2013,3.58,0,78,110
7/6/2013,5.37,0,81,90
7/7/2013,5.82,0.05,83,170
7/8/2013,6.71,0.02,84,200
7/9/2013,7.61,0,85.5,190
7/10/2013,6.04,0,87.5,200
7/11/2013,4.7,0.07,83,90
7/12/2013,3.36,0,83,50
7/13/2013,2.91,0,77.5,100
7/14/2013,3.13,0,77.5,110
7/15/2013,4.03,0.15,81.5,160
7/16/2013,4.47,0,82,90
7/17/2013,4.25,0.02,83.5,60
7/18/2013,2.46,0.3,84.5,80
7/19/2013,3.8,0,80.5,270
7/20/2013,5.59,0,83,210
7/21/2013,7.16,0,83,170
7/22/2013,10.96,0,86.5,230
7/23/2013,9.4,0,84,220
7/24/2013,4.92,0,82.5,230
7/25/2013,3.13,0,81.5,30
7/26/2013,6.71,0.95,80,360
7/27/2013,4.47,0.02,77,30
7/28/2013,4.7,0,78,90
7/29/2013,7.61,0,83.5,190
7/30/2013,10.29,0,85.5,220
7/31/2013,7.61,0,87,210
8/1/2013,4.03,0,88,60
8/2/2013,4.7,0,85.5,160
8/3/2013,6.26,0,87,140
8/4/2013,5.14,0,87.5,140
8/5/2013,7.83,0,89.5,190
8/6/2013,8.28,0,89.5,210
8/7/2013,8.05,0,89,220
8/8/2013,7.38,0,89,120
8/9/2013,6.26,0,88.5,140
8/10/2013,6.71,0.02,88,140
8/11/2013,5.59,0,85,180
8/12/2013,6.26,0,87,210
8/13/2013,6.04,0.41,86.5,310
8/14/2013,6.49,0.01,79,320
8/15/2013,3.58,0,76,360
8/16/2013,4.47,0,73.5,30
8/17/2013,4.7,0,74,50
8/18/2013,3.8,0,79,100
8/19/2013,1.79,0,80,70
8/20/2013,2.46,0,80,140
8/21/2013,4.03,0,83.5,140
8/22/2013,4.47,0,85.5,150
8/23/2013,3.13,0,86,340
8/24/2013,4.7,0,85,90
8/25/2013,6.71,0,84,80
8/26/2013,7.61,0,84,120
8/27/2013,2.01,0,83.5,100
8/28/2013,3.8,0,86,130
8/29/2013,4.03,0,86,100
8/30/2013,4.92,0,86.5,150
8/31/2013,6.93,0,89,130
9/1/2013,6.04,0,88.5,350
9/2/2013,2.91,0,84,300
9/3/2013,3.36,0,88.5,130
9/4/2013,4.47,0,86,60
9/5/2013,3.36,0,84,70
9/6/2013,2.68,0,83.5,200
9/7/2013,3.58,0,85.5,220
9/8/2013,3.8,0,84,180
9/9/2013,5.82,0,84,160
9/10/2013,3.58,0,83,150
9/11/2013,3.13,0,83.5,90
9/12/2013,2.01,0,84.5,90
9/13/2013,4.92,0,85.5,60
9/14/2013,4.92,0,79.5,70
9/15/2013,1.79,0,77.5,120
9/16/2013,2.01,0,82,100
9/17/2013,1.79,0.01,82.5,50
9/18/2013,5.82,0,85,160
9/19/2013,5.82,0.22,85,160
9/20/2013,5.37,2.99,73,340
9/21/2013,6.49,0,71.5,10
9/22/2013,3.58,0,69,80
9/23/2013,1.57,0,70.5,120
9/24/2013,2.46,0,79.5,360
9/25/2013,2.46,0,75,310
9/26/2013,2.01,0,75.5,130
9/27/2013,4.7,0,76,150
9/28/2013,7.38,1.05,78.5,330
9/29/2013,3.8,0.58,75.5,190
9/30/2013,6.04,0.03,77.5,150
10/1/2013,6.93,0.06,78.5,160
10/2/2013,6.49,0,79,120
10/3/2013,6.49,0,78.5,150
10/4/2013,6.93,0,78.5,150
10/5/2013,7.83,0.42,72,330
10/6/2013,6.04,0,66,310
10/7/2013,3.36,0,64,310
10/8/2013,1.79,0,63.5,340
10/9/2013,0.22,0,64.5,10
10/10/2013,3.13,0,66,190
10/11/2013,4.25,0,69.5,140
10/12/2013,4.25,0.58,74.5,130
10/13/2013,4.03,0,71,60
10/14/2013,4.03,0.01,72,150
10/15/2013,6.49,2.1,73,20
10/16/2013,4.47,0.76,62.5,20
10/17/2013,4.25,0,62.5,350
10/18/2013,3.13,0,60.5,130
10/19/2013,4.7,0,55.5,320
10/20/2013,3.36,0,54.5,140
10/21/2013,2.68,0,60.5,350
10/22/2013,4.47,0,61,300
10/23/2013,2.68,0,61.5,170
10/24/2013,5.14,0,66.5,60
10/25/2013,4.92,0,55,100
10/26/2013,3.8,0,59,290
10/27/2013,3.36,0.02,63.5,110
10/28/2013,2.91,0,65,120
10/29/2013,6.71,0,70,170
10/30/2013,8.5,1.41,68,150
10/31/2013,6.93,1.96,64.5,280
11/1/2013,1.79,0,60.5,330
11/2/2013,5.82,0,55,330
11/3/2013,4.25,0,51.5,120
11/4/2013,5.82,0,59,150
11/5/2013,8.72,0,66.5,160
11/6/2013,8.5,0.72,57.5,310
11/7/2013,4.7,0,50.5,290
11/8/2013,1.34,0,51.5,150
11/9/2013,2.01,0.05,54,160
11/10/2013,1.12,0,58.5,330
